 PREM anisotropic @ 35 mhz                                                        ref per = -28.6 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
    67    660000.0    12993.65    11166.47    11166.47     3574.41     3574.41     1.00000       84.60     1327.70
    68    670000.0    12990.75    11164.40    11164.40     3572.97     3572.97     1.00000       84.60     1327.70
    69    680000.0    12987.82    11162.29    11162.29     3571.51     3571.51     1.00000       84.60     1327.70
    70    690000.0    12984.83    11160.16    11160.16     3570.02     3570.02     1.00000       84.60     1327.70
    71    700000.0    12981.81    11157.99    11157.99     3568.52     3568.52     1.00000       84.60     1327.70
    72    710000.0    12978.74    11155.80    11155.80     3566.99     3566.99     1.00000       84.60     1327.70
    73    720000.0    12975.62    11153.57    11153.57     3565.45     3565.45     1.00000       84.60     1327.70
    74    730000.0    12972.46    11151.31    11151.31     3563.88     3563.88     1.00000       84.60     1327.70
    75    740000.0    12969.26    11149.02    11149.02     3562.29     3562.29     1.00000       84.60     1327.70
    76    750000.0    12966.02    11146.70    11146.70     3560.68     3560.68     1.00000       84.60     1327.70
    77    760000.0    12962.73    11144.35    11144.35     3559.04     3559.04     1.00000       84.60     1327.70
    78    770000.0    12959.40    11141.96    11141.96     3557.39     3557.39     1.00000       84.60     1327.70
    79    780000.0    12956.03    11139.55    11139.55     3555.72     3555.72     1.00000       84.60     1327.70
    80    790000.0    12952.61    11137.10    11137.10     3554.02     3554.02     1.00000       84.60     1327.70
    81    800000.0    12949.14    11134.63    11134.63     3552.29     3552.29     1.00000       84.60     1327.70
    82    810000.0    12945.64    11132.12    11132.12     3550.55     3550.55     1.00000       84.60     1327.70
    83    820000.0    12942.09    11129.58    11129.58     3548.79     3548.79     1.00000       84.60     1327.70
    84    830000.0    12938.50    11127.01    11127.01     3547.01     3547.01     1.00000       84.60     1327.70
    85    840000.0    12934.86    11124.40    11124.40     3545.20     3545.20     1.00000       84.60     1327.70
    86    850000.0    12931.18    11121.77    11121.77     3543.36     3543.36     1.00000       84.60     1327.70
    87    860000.0    12927.46    11119.11    11119.11     3541.52     3541.52     1.00000       84.60     1327.70
    88    870000.0    12923.69    11116.42    11116.42     3539.64     3539.64     1.00000       84.60     1327.70
    89    880000.0    12919.88    11113.68    11113.68     3537.76     3537.76     1.00000       84.60     1327.70
    90    890000.0    12916.03    11110.93    11110.93     3535.84     3535.84     1.00000       84.60     1327.70
    91    900000.0    12912.13    11108.14    11108.14     3533.91     3533.91     1.00000       84.60     1327.70
    92    910000.0    12908.19    11105.31    11105.31     3531.94     3531.94     1.00000       84.60     1327.70
    93    920000.0    12904.20    11102.46    11102.46     3529.97     3529.97     1.00000       84.60     1327.70
    94    930000.0    12900.17    11099.58    11099.58     3527.96     3527.96     1.00000       84.60     1327.70
    95    940000.0    12896.10    11096.67    11096.67     3525.94     3525.94     1.00000       84.60     1327.70
    96    950000.0    12891.99    11093.73    11093.73     3523.89     3523.89     1.00000       84.60     1327.70
    97    960000.0    12887.83    11090.75    11090.75     3521.83     3521.83     1.00000       84.60     1327.70
    98    970000.0    12883.63    11087.74    11087.74     3519.74     3519.74     1.00000       84.60     1327.70
    99    980000.0    12879.38    11084.70    11084.70     3517.63     3517.63     1.00000       84.60     1327.70
   100    990000.0    12875.09    11081.63    11081.63     3515.50     3515.50     1.00000       84.60     1327.70
   101   1000000.0    12870.76    11078.53    11078.53     3513.35     3513.35     1.00000       84.60     1327.70
   102   1010000.0    12866.38    11075.40    11075.40     3511.18     3511.18     1.00000       84.60     1327.70
   103   1020000.0    12861.96    11072.24    11072.24     3508.97     3508.97     1.00000       84.60     1327.70
   104   1030000.0    12857.50    11069.04    11069.04     3506.75     3506.75     1.00000       84.60     1327.70
   105   1040000.0    12852.99    11065.82    11065.82     3504.52     3504.52     1.00000       84.60     1327.70
   106   1050000.0    12848.44    11062.56    11062.56     3502.26     3502.26     1.00000       84.60     1327.70
   107   1060000.0    12843.84    11059.27    11059.27     3499.97     3499.97     1.00000       84.60     1327.70
   108   1070000.0    12839.21    11055.95    11055.95     3497.67     3497.67     1.00000       84.60     1327.70
   109   1080000.0    12834.52    11052.61    11052.61     3495.34     3495.34     1.00000       84.60     1327.70
   110   1090000.0    12829.80    11049.23    11049.23     3493.00     3493.00     1.00000       84.60     1327.70
   111   1100000.0    12825.03    11045.82    11045.82     3490.63     3490.63     1.00000       84.60     1327.70
   112   1110000.0    12820.22    11042.37    11042.37     3488.24     3488.24     1.00000       84.60     1327.70
   113   1120000.0    12815.36    11038.89    11038.89     3485.82     3485.82     1.00000       84.60     1327.70
   114   1130000.0    12810.46    11035.39    11035.39     3483.39     3483.39     1.00000       84.60     1327.70
   115   1140000.0    12805.52    11031.86    11031.86     3480.93     3480.93     1.00000       84.60     1327.70
   116   1150000.0    12800.54    11028.29    11028.29     3478.45     3478.45     1.00000       84.60     1327.70
