MFT96 R U -1    85.00000    2.77162    0.14239 4585.65430     89.6 0.2282E-03    1.000000  -10.000000    1.000000   31.200001 0  4   84.48       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    85.00000    2.22550    0.09181 4585.65430     89.6 0.1385E-03    1.000000  -10.000000    1.000000   31.200001 0  5   64.55       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    85.00000    2.65594    0.13075 4585.65430     89.6 0.5512E-04    1.000000  -10.000000    1.000000   31.200001 0  6   37.97       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    85.00000    2.89546    0.15540 4585.65430     89.6 0.2555E-04    1.000000  -10.000000    1.000000   31.200001 0  7  -1.000       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    85.00000    2.02711    0.07617 4585.65430     89.6 0.6959E-05    1.000000  -10.000000    1.000000   31.200001 0  8   12.77       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    80.00000    4.46458    0.34774 4585.65430     89.6 0.4099E-01    1.000000  -10.000000    1.000000   31.200001 0  1   79.96       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    80.00000    2.37311    0.09825 4585.65430     89.6 0.2954E-03    1.000000  -10.000000    1.000000   31.200001 0  2   79.31       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    80.00000    2.82584    0.13931 4585.65430     89.6 0.2883E-03    1.000000  -10.000000    1.000000   31.200001 0  3   78.46       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    80.00000    2.55324    0.11373 4585.65430     89.6 0.2543E-03    1.000000  -10.000000    1.000000   31.200001 0  4   72.85       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    80.00000    2.20968    0.08518 4585.65430     89.6 0.2348E-03    1.000000  -10.000000    1.000000   31.200001 0  5   85.04       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    80.00000    2.48020    0.10732 4585.65430     89.6 0.2295E-03    1.000000  -10.000000    1.000000   31.200001 0  6   66.23       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    80.00000    2.26451    0.08946 4585.65430     89.6 0.2192E-03    1.000000  -10.000000    1.000000   31.200001 0  7   97.23       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    80.00000    2.04098    0.07267 4585.65430     89.6 0.1699E-03    1.000000  -10.000000    1.000000   31.200001 0  8   76.18       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    80.00000    2.10608    0.07738 4585.65430     89.6 0.1144E-03    1.000000  -10.000000    1.000000   31.200001 0  9   59.75       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    80.00000    2.96358    0.15322 4585.65430     89.6 0.4965E-04    1.000000  -10.000000    1.000000   31.200001 0 10   30.34       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    75.00000    4.45040    0.32394 4585.65430     89.6 0.4052E-01    1.000000  -10.000000    1.000000   31.200001 0  1   75.25       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    75.00000    2.43774    0.09719 4585.65430     89.6 0.3915E-03    1.000000  -10.000000    1.000000   31.200001 0  2   74.98       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    75.00000    2.13597    0.07462 4585.65430     89.6 0.2214E-03    1.000000  -10.000000    1.000000   31.200001 0  3   73.49       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    75.00000    2.90162    0.13770 4585.65430     89.6 0.2201E-03    1.000000  -10.000000    1.000000   31.200001 0  4   72.79       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    75.00000    2.67280    0.11684 4585.65430     89.6 0.1935E-03    1.000000  -10.000000    1.000000   31.200001 0  5   72.49       50.27     COMMENT: AEAA    -12345   2000   0  0  0
MFT96 R U -1    75.00000    2.26301    0.08376 4585.65430     89.6 0.9684E-04    1.000000  -10.000000    1.000000   31.200001 0  6   77.47       50.27     COMMENT: AEAA    -12345   2000   0  0  0
